"Date","Hour","Age","Sex","Number","Area","Amount","Result"
2015-01-05,9,48,2,4,1,25200,0
2015-01-05,9,43,1,5,1,40800,0
2015-01-05,9,47,1,1,1,23800,0
2015-01-05,9,45,1,1,1,29500,0
2015-01-05,9,34,1,2,1,26700,1
2015-01-05,9,35,2,3,1,38000,0
2015-01-05,9,68,2,3,1,30900,1
2015-01-05,9,30,1,2,1,52100,1
2015-01-05,9,36,1,1,1,40400,1
2015-01-05,9,38,2,1,1,22400,0
2015-01-05,9,50,2,2,1,23800,1
2015-01-05,9,26,2,1,1,28100,0
2015-01-05,9,50,2,3,1,64800,1
2015-01-05,9,23,1,1,1,33700,1
2015-01-05,9,38,1,1,1,32300,0
2015-01-05,9,23,1,1,1,38000,1
2015-01-05,9,20,2,1,1,38000,0
2015-01-05,9,21,2,3,1,38000,0
2015-01-05,9,35,2,2,2,40800,0
2015-01-05,9,23,1,2,1,30900,1
2015-01-05,9,47,2,1,1,33700,0
2015-01-05,9,55,1,2,1,32300,1
2015-01-05,9,24,1,1,1,42200,1
2015-01-05,9,43,2,2,1,29500,0
2015-01-05,9,53,2,1,1,32300,0
2015-01-05,9,62,1,4,1,23800,0
2015-01-05,9,56,2,4,1,28100,0
2015-01-05,9,29,1,1,1,63400,1
2015-01-05,9,31,2,1,1,25200,0
2015-01-05,10,45,1,2,1,74700,0
2015-01-05,10,69,2,3,1,38000,1
2015-01-05,10,47,1,1,1,30900,1
2015-01-05,10,41,2,2,1,39400,1
2015-01-05,10,47,1,4,1,74700,0
2015-01-05,10,31,1,3,1,33700,1
2015-01-05,10,42,1,1,1,91700,0
2015-01-05,10,41,1,4,1,107200,0
2015-01-05,10,46,1,1,1,112900,0
2015-01-05,10,33,1,1,1,36600,0
2015-01-05,10,41,2,1,1,60600,0
2015-01-05,10,42,1,1,1,74700,0
2015-01-05,10,34,2,1,1,35100,0
2015-01-05,10,34,1,1,1,84600,0
2015-01-05,10,43,1,2,1,79000,0
2015-01-05,10,22,2,1,2,42200,0
2015-01-05,10,35,2,1,1,23800,1
2015-01-05,10,56,1,1,1,84600,0
2015-01-05,10,54,2,4,1,21000,1
2015-01-05,10,31,1,2,1,274100,0
2015-01-05,10,44,1,1,1,29500,1
2015-01-05,10,55,2,2,3,70500,0
2015-01-05,10,32,1,1,1,197700,0
2015-01-05,10,35,1,1,2,56400,0
2015-01-05,10,20,2,1,1,46500,0
2015-01-05,10,54,1,1,1,128500,0
2015-01-05,11,56,1,4,1,112900,0
2015-01-05,11,83,1,1,1,29500,1
2015-01-05,11,43,1,3,1,108700,0
2015-01-05,11,52,2,4,3,22400,0
2015-01-05,11,59,1,1,1,105800,0
2015-01-05,11,61,1,2,1,74700,0
2015-01-05,11,71,1,2,1,22400,0
2015-01-05,11,55,1,2,1,122800,0
2015-01-05,11,46,1,1,1,36600,0
2015-01-05,11,47,2,3,1,23800,1
2015-01-05,11,69,1,5,1,118600,0
2015-01-05,11,48,1,4,3,28100,0
2015-01-05,11,67,2,4,1,28100,0
2015-01-05,11,64,1,1,1,129900,1
2015-01-05,11,69,1,2,1,86000,1
2015-01-05,11,30,1,1,1,80400,0
2015-01-05,11,32,1,1,1,104400,1
2015-01-05,11,34,2,2,3,25200,1
2015-01-05,11,47,1,2,3,40800,0
2015-01-05,11,58,1,1,2,87500,0
2015-01-05,11,31,2,1,1,25200,0
2015-01-05,11,55,1,2,1,72800,0
2015-01-05,11,32,2,1,1,23800,0
2015-01-05,11,30,1,1,2,74300,0
2015-01-05,11,25,2,1,1,32300,0
2015-01-05,11,29,1,1,1,21000,1
2015-01-05,11,21,1,1,3,36600,0
2015-01-05,11,20,2,1,1,38000,1
2015-01-05,11,34,1,1,1,93100,0
2015-01-05,11,21,2,1,3,22400,0
2015-01-05,11,29,2,1,2,28100,0
2015-01-05,11,26,2,1,2,72200,0
2015-01-05,11,20,1,1,1,36600,0
2015-01-05,11,25,1,1,1,32300,0
2015-01-05,11,45,1,1,1,71900,1
2015-01-05,11,44,1,1,1,120000,0
2015-01-05,11,40,1,4,1,101600,0
2015-01-05,11,37,1,3,1,83200,0
2015-01-05,11,35,1,4,1,108700,0
2015-01-05,11,49,1,2,3,30900,0
2015-01-05,11,53,2,3,1,21000,0
2015-01-05,13,73,1,2,1,21000,1
2015-01-05,13,59,1,4,1,16800,1
2015-01-05,13,66,1,2,1,28100,0
2015-01-05,13,65,1,2,1,13900,0
2015-01-05,13,78,1,1,1,38000,0
2015-01-05,13,53,2,2,1,13900,0
2015-01-05,13,43,1,1,1,121400,1
2015-01-05,13,49,2,2,1,28100,0
2015-01-05,13,44,2,1,1,15400,1
2015-01-05,13,72,1,2,1,13900,1
2015-01-05,13,61,2,3,1,15400,0
2015-01-05,13,60,1,3,1,79000,0
2015-01-05,13,87,1,1,1,26700,0
2015-01-05,13,46,1,2,1,18200,0
2015-01-05,13,46,1,2,1,38000,1
2015-01-05,13,61,1,2,2,30900,1
2015-01-05,13,41,1,2,1,21000,0
2015-01-05,13,42,2,2,1,38000,1
2015-01-05,13,64,2,2,3,125600,0
2015-01-05,13,65,2,2,1,23800,0
2015-01-05,13,36,1,2,1,16800,0
2015-01-05,13,62,2,1,2,13900,1
2015-01-05,13,69,2,1,2,12500,0
2015-01-05,13,42,2,2,1,80400,0
2015-01-05,13,35,2,1,1,71600,0
2015-01-05,13,65,1,2,1,80400,0
2015-01-05,13,35,2,1,2,22400,0
2015-01-05,13,38,1,2,1,32300,0
2015-01-05,13,42,2,2,1,62000,0
2015-01-05,13,53,2,1,1,21000,0
2015-01-05,13,36,2,3,1,39400,1
2015-01-05,13,56,2,2,1,32300,1
2015-01-05,13,38,1,2,1,45000,0
2015-01-05,13,31,2,2,1,18200,0
2015-01-05,13,34,1,1,1,28100,0
2015-01-05,13,69,1,2,1,33400,1
2015-01-05,13,66,1,4,1,16800,1
2015-01-05,13,23,1,1,2,16800,1
2015-01-05,13,55,1,2,1,23800,0
2015-01-05,13,53,2,2,1,26400,0
2015-01-05,13,25,2,1,3,25200,0
2015-01-05,13,25,2,1,1,46500,1
2015-01-05,13,51,2,1,1,33700,1
2015-01-05,13,67,1,3,1,29500,0
2015-01-05,13,26,1,1,1,18200,0
2015-01-05,13,33,2,2,1,29500,0
2015-01-05,13,57,2,1,1,13900,0
2015-01-05,13,52,2,5,1,13900,0
2015-01-05,13,22,2,1,3,36600,0
2015-01-05,13,21,1,1,1,23800,0
2015-01-05,13,23,1,1,1,49300,1
2015-01-05,13,76,2,2,3,30900,1
2015-01-05,13,28,2,1,2,40800,0
2015-01-05,13,25,2,1,3,16800,1
2015-01-05,13,42,2,3,3,35100,1
2015-01-05,13,41,1,2,1,93100,0
2015-01-05,13,73,2,1,1,12500,0
2015-01-05,13,41,1,2,1,90000,0
2015-01-05,13,48,1,2,2,39400,1
2015-01-05,13,63,1,2,1,32300,0
2015-01-05,13,36,1,1,2,4600,0
2015-01-05,13,43,2,1,1,15400,1
2015-01-05,13,41,2,1,1,18200,0
2015-01-05,13,41,1,3,2,99300,0
2015-01-05,13,32,1,2,1,74700,0
2015-01-05,13,48,1,2,1,136900,0
2015-01-05,13,32,1,2,1,23800,1
2015-01-05,14,65,2,2,1,33700,0
2015-01-05,14,69,2,2,1,22400,0
2015-01-05,14,47,2,4,1,32300,0
2015-01-05,14,42,2,5,1,16800,1
2015-01-05,14,46,2,2,1,38000,0
2015-01-05,14,72,1,3,1,39400,0
2015-01-05,14,40,1,4,1,22400,1
2015-01-05,14,61,2,3,1,30900,1
2015-01-05,14,56,2,1,1,23800,0
2015-01-05,14,49,1,1,1,22400,0
2015-01-05,14,44,2,5,1,18200,0
2015-01-05,14,64,2,4,1,39400,0
2015-01-05,14,32,1,1,1,36600,0
2015-01-05,14,31,2,1,1,25200,1
2015-01-05,14,83,2,1,3,30900,0
2015-01-05,14,37,2,1,1,62400,0
2015-01-05,14,30,2,1,1,35100,1
2015-01-05,14,32,1,1,1,29500,0
2015-01-05,14,32,1,2,1,39400,0
2015-01-05,14,45,2,3,1,22400,0
2015-01-05,14,39,2,1,1,21000,0
2015-01-05,14,51,1,2,1,19600,0
2015-01-05,14,29,1,2,1,18200,0
2015-01-05,14,36,2,2,3,32300,1
2015-01-05,14,51,1,4,1,26700,0
2015-01-05,14,21,2,1,2,36600,0
2015-01-05,14,22,1,1,1,23800,0
2015-01-05,14,34,2,2,1,21000,1
2015-01-05,14,26,2,1,1,11100,1
2015-01-05,14,72,2,2,3,23800,1
2015-01-05,14,26,1,1,1,33700,0
2015-01-05,14,40,2,5,1,36600,1
2015-01-05,14,31,1,3,1,23800,0
2015-01-05,14,43,2,1,1,35100,0
2015-01-05,14,60,1,5,3,38000,0
2015-01-05,14,42,1,3,1,12500,0
2015-01-05,14,44,2,4,1,22400,1
2015-01-05,14,31,2,1,1,16800,0
2015-01-05,15,68,1,4,1,32300,1
2015-01-05,15,54,1,5,2,22400,0
2015-01-05,15,83,1,1,3,6000,1
2015-01-05,15,58,1,4,1,26700,0
2015-01-05,15,63,1,3,1,21000,0
2015-01-05,15,61,2,2,1,13900,1
2015-01-05,15,67,1,4,1,13900,0
2015-01-05,15,45,2,3,1,26700,0
2015-01-05,15,46,1,1,1,12500,0
2015-01-05,15,74,1,4,1,29500,1
2015-01-05,15,41,1,2,1,21000,1
2015-01-05,15,43,2,2,1,18200,0
2015-01-05,15,57,1,1,1,21900,0
2015-01-05,15,50,2,2,1,36600,1
2015-01-05,15,51,1,3,3,13900,0
2015-01-05,15,49,1,1,3,13900,1
2015-01-05,15,75,1,2,1,29500,1
2015-01-05,15,35,1,3,1,30900,1
2015-01-05,15,59,2,1,1,52000,1
2015-01-05,15,34,1,3,1,40800,0
2015-01-05,15,33,2,2,1,29500,0
2015-01-05,15,32,2,1,1,30900,0
2015-01-05,15,28,2,3,1,35100,0
2015-01-05,15,29,2,1,1,16800,1
2015-01-05,15,20,2,1,2,15400,0
2015-01-05,15,23,2,2,1,23800,1
2015-01-05,15,23,2,1,1,22400,1
2015-01-05,15,27,2,1,1,23800,0
2015-01-05,15,20,2,2,1,11100,0
2015-01-05,15,24,2,1,1,21000,0
2015-01-05,15,49,1,4,1,39400,1
2015-01-05,15,28,1,2,2,39400,0
2015-01-05,15,48,2,4,1,23800,0
2015-01-05,15,27,2,1,1,36600,0
2015-01-05,15,41,2,2,1,11100,0
2015-01-05,15,58,2,1,1,11100,0
2015-01-05,15,26,1,1,1,13900,0
2015-01-05,15,26,2,2,1,29500,0
2015-01-05,15,27,2,1,3,13900,1
2015-01-05,15,23,1,3,1,35100,1
2015-01-05,15,48,2,4,1,25200,1
2015-01-05,15,28,1,1,1,25200,0
2015-01-05,15,51,2,4,1,21000,1
2015-01-05,15,61,1,2,1,35100,0
2015-01-05,15,40,2,2,1,48300,0
2015-01-05,15,46,2,2,1,42200,0
2015-01-05,15,36,1,3,1,49300,1
2015-01-05,16,43,1,5,1,16800,1
2015-01-05,16,59,2,3,1,23800,1
2015-01-05,16,56,1,2,1,32300,0
2015-01-05,16,55,2,1,3,40800,0
2015-01-05,16,43,1,5,1,30900,1
2015-01-05,16,57,1,3,1,38000,1
2015-01-05,16,54,2,5,2,15400,1
2015-01-05,16,55,2,2,1,32300,1
2015-01-05,16,62,2,4,1,18200,0
2015-01-05,16,78,1,1,1,19600,0
2015-01-05,16,41,2,3,1,39400,1
2015-01-05,16,43,1,1,1,57800,0
2015-01-05,16,30,2,1,1,11100,0
2015-01-05,16,22,2,1,1,16800,0
2015-01-05,16,53,2,3,1,16800,1
2015-01-05,16,29,2,1,1,25200,0
2015-01-05,16,67,1,3,1,40800,1
2015-01-05,16,45,2,2,3,16800,1
2015-01-05,16,20,2,3,1,23800,0
2015-01-05,16,51,2,1,1,29500,0
2015-01-05,16,30,1,2,1,16800,0
2015-01-05,16,21,1,1,1,32300,1
2015-01-05,16,38,2,3,1,15400,0
2015-01-05,16,22,2,1,1,26700,1
2015-01-05,16,66,2,1,2,19600,0
2015-01-05,16,65,1,4,1,30900,0
2015-01-05,16,44,2,1,2,11100,0
2015-01-05,16,44,2,3,1,21000,1
2015-01-05,16,20,2,3,2,35100,0
2015-01-05,16,30,1,3,1,23800,1
2015-01-05,16,47,2,4,1,38000,1
2015-01-05,16,56,2,3,2,26700,1
2015-01-05,16,48,1,5,1,30900,1
2015-01-06,9,63,2,1,1,6900,1
2015-01-06,9,51,1,2,1,21000,0
2015-01-06,9,65,2,3,1,6900,1
2015-01-06,9,45,2,2,1,5500,1
2015-01-06,9,67,2,1,1,6900,0
2015-01-06,9,48,1,1,1,67700,1
2015-01-06,9,45,2,2,1,4000,1
2015-01-06,9,37,2,2,2,5500,0
2015-01-06,9,33,2,1,1,5500,1
2015-01-06,9,58,2,3,1,4000,1
2015-01-06,9,36,2,1,1,9700,0
2015-01-06,9,67,2,4,1,8300,1
2015-01-06,9,30,1,2,1,52100,1
2015-01-06,9,43,2,4,1,6900,0
2015-01-06,9,63,2,2,1,8300,0
2015-01-06,9,38,1,1,2,59200,1
2015-01-06,9,38,2,3,1,4000,1
2015-01-06,9,23,2,1,1,25200,0
2015-01-06,9,50,2,3,1,64800,1
2015-01-06,9,27,1,1,3,4000,0
2015-01-06,9,20,2,1,3,9700,0
2015-01-06,9,65,2,4,1,2600,1
2015-01-06,9,23,2,1,1,9700,0
2015-01-06,9,55,1,2,1,32300,1
2015-01-06,9,47,1,2,1,4000,1
2015-01-06,9,37,2,3,3,35100,1
2015-01-06,9,29,1,1,1,63400,1
2015-01-06,9,41,2,5,1,2600,1
2015-01-06,9,29,1,3,2,52100,0
2015-01-06,9,47,1,4,1,2600,1
2015-01-06,10,45,1,2,1,74700,0
2015-01-06,10,56,2,1,1,25200,1
2015-01-06,10,60,2,1,1,6900,1
2015-01-06,10,71,2,1,3,8300,0
2015-01-06,10,75,1,2,1,6900,1
2015-01-06,10,43,1,3,2,73300,0
2015-01-06,10,76,1,1,3,9700,1
2015-01-06,10,46,1,1,1,111500,0
2015-01-06,10,54,1,2,1,32300,0
2015-01-06,10,54,1,2,1,32300,1
2015-01-06,10,47,1,4,1,74700,0
2015-01-06,10,42,1,1,1,91700,0
2015-01-06,10,32,2,3,1,8300,0
2015-01-06,10,39,2,1,3,22400,1
2015-01-06,10,41,1,4,1,107200,0
2015-01-06,10,36,1,1,1,26700,0
2015-01-06,10,46,1,1,1,112900,0
2015-01-06,10,42,1,1,1,74700,0
2015-01-06,10,39,1,3,3,53900,1
2015-01-06,10,34,1,1,1,84600,0
2015-01-06,10,43,1,2,1,79000,0
2015-01-06,10,28,2,2,1,2600,1
